Investor_name_link,country,Investor_name,Investor_type,state_province
http://www.privco.com/investors/private-equity/eastside-partners,United States,Eastside Partners,Private Equity,Alabama
http://www.privco.com/investors/business-incubator-sbdc/enterprise-business-incubator,United States,Enterprise Business Incubator,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/private-equity/fenwick-capital-group-inc,United States,"Fenwick Capital Group, Inc.",Private Equity,Alabama
http://www.privco.com/investors/other-investment-firm/gaunce-management-inc,United States,Gaunce Management Inc.,Other Investment Firm,Alabama
http://www.privco.com/investors/private-equity/greer-capital-advisors-llc,United States,"Greer Capital Advisors, LLC",Private Equity,Alabama
http://www.privco.com/investors/angel-investor-group/gulf-coast-angel-network,United States,Gulf Coast Angel Network,Angel Investor Group,Alabama
http://www.privco.com/investors/private-equity-venture-capital/harbert-management-corporation,United States,Harbert Management Corporation,Private Equity & Venture Capital,Alabama
http://www.privco.com/investors/angel-investor-group/huntsville-angel-network,United States,Huntsville Angel Network,Angel Investor Group,Alabama
http://www.privco.com/investors/business-incubator-sbdc/huntsville-biotechnology-center,United States,Huntsville Biotechnology Center,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/business-incubator-sbdc/innovation-depot,United States,Innovation Depot,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/angel-investor-group/alaska-investnet,United States,Alaska InvestNet,Angel Investor Group,Alaska
http://www.privco.com/investors/quasi-government-organization/alaska-permanent-fund,United States,Alaska Permanent Fund,Quasi-Government Organization,Alaska
http://www.privco.com/investors/business-incubator-sbdc/alaska-sbdc,United States,Alaska SBDC,Business Incubator / SBDC,Alaska
http://www.privco.com/investors/business-incubator-sbdc/alaska-sbdc-great-north-region,United States,Alaska SBDC - Great North Region,Business Incubator / SBDC,Alaska
http://www.privco.com/investors/business-incubator-sbdc/alaska-sbdc-wasilla,United States,Alaska SBDC - Wasilla,Business Incubator / SBDC,Alaska
http://www.privco.com/investors/quasi-government-organization/bering-strait-native-corporation,United States,Bering Strait Native Corporation,Quasi-Government Organization,Alaska
http://www.privco.com/investors/business-incubator-sbdc/fairbanks-economic-development-corporation,United States,Fairbanks Economic Development Corporation,Business Incubator / SBDC,Alaska
http://www.privco.com/investors/business-incubator-sbdc/south-west-region-alaska-sbdc,United States,South West Region Alaska SBDC,Business Incubator / SBDC,Alaska
http://www.privco.com/investors/business-incubator-sbdc/southeast-region-alaska-sbdc,United States,Southeast Region Alaska SBDC,Business Incubator / SBDC,Alaska
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
http://www.privco.com/investors/angel-individual/adam-miller,United States,Adam Miller,Angel / Individual,Arizona
http://www.privco.com/investors/angel-investor-group/alliance-healthcare-fund,United States,Alliance Healthcare Fund,Angel Investor Group,Arizona
http://www.privco.com/investors/angel-investor-group/arizona-angels-venture-group-inc,United States,"Arizona Angels Venture Group, Inc.",Angel Investor Group,Arizona
http://www.privco.com/investors/business-incubator-sbdc/arizona-center-for-innovation,United States,Arizona Center for Innovation,Business Incubator / SBDC,Arizona
http://www.privco.com/investors/business-incubator-sbdc/arizona-sbdc-network,United States,Arizona SBDC Network,Business Incubator / SBDC,Arizona
http://www.privco.com/investors/university/arizona-technology-enterprises,United States,Arizona Technology Enterprises,University,Arizona
http://www.privco.com/investors/angel-investor-group/arizona-technology-investor-forum-atif,United States,Arizona Technology Investor Forum (ATIF),Angel Investor Group,Arizona
http://www.privco.com/investors/business-incubator-sbdc/arizona-western-college-sbdc,United States,Arizona Western College SBDC,Business Incubator / SBDC,Arizona
http://www.privco.com/investors/private-equity/arris-ventures,United States,Arris Ventures,Private Equity,Arizona
http://www.privco.com/investors/business-incubator-sbdc/az-furnace-accelerator,United States,AZ Furnace Accelerator,Business Incubator / SBDC,Arizona
http://www.privco.com/investors/venture-capital/biltmore-ventures-lp,United States,"Biltmore Ventures, L.P.",Venture Capital,Arizona
http://www.privco.com/investors/angel-individual/boris-katsnelson,United States,Boris Katsnelson,Angel / Individual,Arizona
http://www.privco.com/investors/private-equity/canal-partners-llc,United States,"Canal Partners, LLC.",Private Equity,Arizona
http://www.privco.com/investors/business-incubator-sbdc/central-arizona-college-sbdc,United States,Central Arizona College SBDC,Business Incubator / SBDC,Arizona
http://www.privco.com/investors/business-incubator-sbdc/city-of-surprise-az-economic-development,United States,City of Surprise AZ Economic Development,Business Incubator / SBDC,Arizona
http://www.privco.com/investors/venture-capital/clearvue-partners,United States,ClearVue Partners,Venture Capital,Arizona
http://www.privco.com/investors/business-incubator-sbdc/cochise-college-sbdc,United States,Cochise College SBDC,Business Incubator / SBDC,Arizona
http://www.privco.com/investors/business-incubator-sbdc/coconino-county-community-college-sbdc,United States,Coconino County Community College SBDC,Business Incubator / SBDC,Arizona
http://www.privco.com/investors/angel-individual/corey-edens,United States,Corey Edens,Angel / Individual,Arizona
http://www.privco.com/investors/venture-capital/daybreak-investments,United States,Daybreak Investments,Venture Capital,Arizona
http://www.privco.com/investors/business-incubator-sbdc/delta-center-for-economic-development,United States,Delta Center for Economic Development,Business Incubator / SBDC,Arizona
http://www.privco.com/investors/angel-investor-group/desert-angels,United States,Desert Angels,Angel Investor Group,Arizona
http://www.privco.com/investors/business-incubator-sbdc/eastern-arizona-college,United States,Eastern Arizona College,Business Incubator / SBDC,Arizona
http://www.privco.com/investors/private-equity/estancia-capital-management-llc,United States,Estancia Capital Management LLC,Private Equity,Arizona
http://www.privco.com/investors/venture-capital/ethanol-capital-management-llc,United States,"Ethanol Capital Management, LLC",Venture Capital,Arizona
http://www.privco.com/investors/business-incubator-sbdc/arkansas-research-and-technology-park,United States,Arkansas Research & Technology Park,Business Incubator / SBDC,Arkansas
http://www.privco.com/investors/quasi-government-organization/arkansas-risk-capital-matching-fund,United States,Arkansas Risk Capital Matching Fund,Quasi-Government Organization,Arkansas
http://www.privco.com/investors/quasi-government-organization/arkansas-science-and-technology-authority,United States,Arkansas Science & Technology Authority,Quasi-Government Organization,Arkansas
http://www.privco.com/investors/business-incubator-sbdc/arkansas-small-business-and-technology-development-center,United States,Arkansas Small Business And Technology Development Center,Business Incubator / SBDC,Arkansas
http://www.privco.com/investors/business-incubator-sbdc/arkansas-state-university-sbtdc,United States,Arkansas State University SBTDC,Business Incubator / SBDC,Arkansas
http://www.privco.com/investors/business-incubator-sbdc/arkansas-tech-university-sbtdc,United States,Arkansas Tech University SBTDC,Business Incubator / SBDC,Arkansas
http://www.privco.com/investors/venture-capital/brand-ventures,United States,Brand Ventures,Venture Capital,Arkansas
http://www.privco.com/investors/angel-individual/curtis-arnold,United States,Curtis Arnold,Angel / Individual,Arkansas
http://www.privco.com/investors/small-business-investment-company-sbic/diamond-state-ventures-lp,United States,"Diamond State Ventures, L.P.",Small Business Investment Company (SBIC),Arkansas
http://www.privco.com/investors/business-incubator-sbdc/economic-research-and-development-center,United States,Economic Research & Development Center,Business Incubator / SBDC,Arkansas
http://www.privco.com/investors/angel-investor-group/fund-for-arkansas-future,United States,Fund For Arkansas' Future,Angel Investor Group,Arkansas
http://www.privco.com/investors/business-incubator-sbdc/genesis-technology-incubator,United States,GENESIS Technology Incubator,Business Incubator / SBDC,Arkansas
http://www.privco.com/investors/business-incubator-sbdc/henderson-state-university-sbtdc,United States,Henderson State University SBTDC,Business Incubator / SBDC,Arkansas
http://www.privco.com/investors/angel-individual/michael-peace,United States,Michael Peace,Angel / Individual,Arkansas
http://www.privco.com/investors/venture-capital/newroad-ventures,United States,NewRoad Ventures,Venture Capital,Arkansas
http://www.privco.com/investors/business-incubator-sbdc/southern-arkansas-university-sbtdc,United States,Southern Arkansas University SBTDC,Business Incubator / SBDC,Arkansas
http://www.privco.com/investors/private-equity/stephens-capital-partners,United States,Stephens Capital Partners,Private Equity,Arkansas
http://www.privco.com/investors/private-equity/stephens-group-llc,United States,"Stephens Group, LLC",Private Equity,Arkansas
http://www.privco.com/investors/business-incubator-sbdc/the-ark,United States,The Ark,Business Incubator / SBDC,Arkansas
http://www.privco.com/investors/angel-investor-group/tonic-funds,United States,Tonic Funds,Angel Investor Group,Arkansas
http://www.privco.com/investors/business-incubator-sbdc/university-of-arkansas-at-monticello-sbtdc,United States,University of Arkansas at Monticello SBTDC,Business Incubator / SBDC,Arkansas
http://www.privco.com/investors/business-incubator-sbdc/university-of-arkansas-fayetteville-sbtdc,United States,"University of Arkansas, Fayetteville SBTDC",Business Incubator / SBDC,Arkansas
http://www.privco.com/investors/business-incubator-sbdc/vic-technology-venture-development-llc,United States,"VIC Technology Venture Development, LLC",Business Incubator / SBDC,Arkansas
,,,,
,,,,
http://www.privco.com/investors/venture-capital/dominatefund,United States,#DominateFund,Venture Capital,California
http://www.privco.com/investors/angel-investor-group/12-angels,United States,12 Angels,Angel Investor Group,California
http://www.privco.com/investors/venture-capital/137-ventures,United States,137 Ventures,Venture Capital,California
http://www.privco.com/investors/venture-capital/2020-ventures,United States,2020 Ventures,Venture Capital,California
http://www.privco.com/investors/venture-capital/37-technology-ventures,United States,37 Technology Ventures,Venture Capital,California
http://www.privco.com/investors/private-equity/3p-equity-partners,United States,3P Equity Partners,Private Equity,California
http://www.privco.com/investors/business-incubator-sbdc/500-startups,United States,500 Startups,Business Incubator / SBDC,California
http://www.privco.com/investors/venture-capital/500-startupwallah-lp,United States,"500 StartupWallah, L.P.",Venture Capital,California
http://www.privco.com/investors/venture-capital/5am-ventures,United States,5AM Ventures,Venture Capital,California
http://www.privco.com/investors/venture-capital/8vc,United States,8VC,Venture Capital,California
http://www.privco.com/investors/venture-capital/ventures,United States,@Ventures,Venture Capital,California
http://www.privco.com/investors/venture-capital/a-capital-partners-lp,United States,"A Capital Partners, L.P.",Venture Capital,California
http://www.privco.com/investors/angel-individual/aaron-iba,United States,Aaron Iba,Angel / Individual,California
http://www.privco.com/investors/angel-individual/aaron-lee,United States,Aaron Lee,Angel / Individual,California
http://www.privco.com/investors/angel-individual/aaron-levie,United States,Aaron Levie,Angel / Individual,California
http://www.privco.com/investors/angel-individual/aaron-patzer,United States,Aaron Patzer,Angel / Individual,California
http://www.privco.com/investors/angel-individual/aaron-schiff,United States,Aaron Schiff,Angel / Individual,California
http://www.privco.com/investors/venture-capital/abbvie-biotherapeutics-inc,United States,AbbVie Biotech Ventures,Venture Capital,California
http://www.privco.com/investors/other-investment-firm/abel-equities-lp,United States,"Abel Equities, LP.",Other Investment Firm,California
http://www.privco.com/investors/venture-capital/aberdare-ventures,United States,Aberdare Ventures,Venture Capital,California
http://www.privco.com/investors/angel-individual/abhay-parasnis,United States,Abhay Parasnis,Angel / Individual,California
http://www.privco.com/investors/venture-capital/acacia-venture-partners,United States,Acacia Venture Partners,Venture Capital,California
http://www.privco.com/investors/venture-capital/accel-partners,United States,Accel Partners,Venture Capital,California
http://www.privco.com/investors/private-equity/accel-kkr-llc,United States,Accel-KKR LLC,Private Equity,California
http://www.privco.com/investors/other-investment-firm/accelerated-acquisitions-xii-inc,United States,"Accelerated Acquisitions XII, Inc.",Other Investment Firm,California
http://www.privco.com/investors/private-equity/5280-partners,United States,5280 Partners,Private Equity,Colorado
http://www.privco.com/investors/venture-capital/9th-street-investments,United States,9th Street Investments,Venture Capital,Colorado
http://www.privco.com/investors/venture-capital/access-partners,United States,Access Partners,Venture Capital,Colorado
http://www.privco.com/investors/venture-capital/access-venture-partners-llc,United States,"Access Venture Partners, LLC",Venture Capital,Colorado
http://www.privco.com/investors/venture-capital/ad-venture-capital-management-llc,United States,"Ad-Venture Capital Management, LLC",Venture Capital,Colorado
http://www.privco.com/investors/angel-individual/adam-berrey,United States,Adam Berrey,Angel / Individual,Colorado
http://www.privco.com/investors/other-investment-firm/adler-and-co-inc,United States,Adler & Co. Inc.,Other Investment Firm,Colorado
http://www.privco.com/investors/angel-individual/alexander-white,United States,Alexander White,Angel / Individual,Colorado
http://www.privco.com/investors/venture-capital/altira-group-llc,United States,"Altira Group, LLC",Venture Capital,Colorado
http://www.privco.com/investors/venture-capital/altitude-life-science-ventures,United States,Altitude Life Science Ventures,Venture Capital,Colorado
http://www.privco.com/investors/private-equity-venture-capital/american-midstream-partners-lp,United States,American Midstream Partners LP,Private Equity & Venture Capital,Colorado
http://www.privco.com/investors/private-equity/amstar-group-llc,United States,"Amstar Group, LLC",Private Equity,Colorado
http://www.privco.com/investors/venture-capital/anschutz-investments,United States,Anschutz Investments,Venture Capital,Colorado
http://www.privco.com/investors/venture-capital/ansel-capital-partners,United States,Ansel Capital Partners,Venture Capital,Colorado
http://www.privco.com/investors/venture-capital/appian-ventures,United States,Appian Ventures,Venture Capital,Colorado
http://www.privco.com/investors/venture-capital/aravaipa-ventures,United States,Aravaipa Ventures,Venture Capital,Colorado
http://www.privco.com/investors/private-equity/arrowpoint-partners,United States,Arrowpoint Partners,Private Equity,Colorado
http://www.privco.com/investors/venture-capital/aweida-venture-partners,United States,Aweida Venture Partners,Venture Capital,Colorado
http://www.privco.com/investors/private-equity/axiom-equity-partners,United States,Axiom Equity Partners,Private Equity,Colorado
http://www.privco.com/investors/private-equity/bard-capital-group-llc,United States,"Bard Capital Group, LLC",Private Equity,Colorado
http://www.privco.com/investors/angel-individual/bart-lorang,United States,Bart Lorang,Angel / Individual,Colorado
http://www.privco.com/investors/private-equity/black-creek-group,United States,Black Creek Group,Private Equity,Colorado
http://www.privco.com/investors/venture-capital/blue-note-ventures,United States,Blue Note Ventures,Venture Capital,Colorado
http://www.privco.com/investors/venture-development-firm/blue-ocean-enterprises,United States,Blue Ocean Enterprises,Venture Development Firm,Colorado
http://www.privco.com/investors/private-equity/boat-capital-partners-llc,United States,"Boat Capital Partners, LLC",Private Equity,Colorado
http://www.privco.com/investors/small-business-investment-company-sbic/1to1-venture-partners-llc,United States,"1to1 Venture Partners, LLC",Small Business Investment Company (SBIC),Connecticut
http://www.privco.com/investors/business-incubator-sbdc/4combinator,United States,4Combinator,Business Incubator / SBDC,Connecticut
http://www.privco.com/investors/private-equity-venture-capital/activant-capital-group-llc,United States,Activant Capital Group LLC,Private Equity & Venture Capital,Connecticut
http://www.privco.com/investors/private-equity/alerion-partners,United States,Alerion Partners,Private Equity,Connecticut
http://www.privco.com/investors/private-equity/alterna-capital-partners-llc,United States,Alterna Capital Partners LLC,Private Equity,Connecticut
http://www.privco.com/investors/private-equity/altus-capital-partners,United States,Altus Capital Partners,Private Equity,Connecticut
http://www.privco.com/investors/private-equity/american-franchise-capital,United States,American Franchise Capital,Private Equity,Connecticut
http://www.privco.com/investors/angel-investor-group/angel-investor-forum,United States,Angel Investor Forum,Angel Investor Group,Connecticut
http://www.privco.com/investors/private-equity/arcade-partners-llc,United States,"Arcade Partners, LLC",Private Equity,Connecticut
http://www.privco.com/investors/private-equity/ardshiel-inc,United States,"Ardshiel, Inc.",Private Equity,Connecticut
http://www.privco.com/investors/private-equity/atlantic-street-capital-management-llc,United States,"Atlantic Street Capital Management, LLC",Private Equity,Connecticut
http://www.privco.com/investors/private-equity/atlas-holdings-llc,United States,Atlas Holdings LLC,Private Equity,Connecticut
http://www.privco.com/investors/venture-capital/axiom-venture-partners-lp,United States,"Axiom Venture Partners, L.P.",Venture Capital,Connecticut
http://www.privco.com/investors/private-equity/balance-point-capital-partners-lp,United States,Balance Point Capital Partners LP,Private Equity,Connecticut
http://www.privco.com/investors/investment-banking-firm/bank-street,United States,Bank Street,Investment Banking Firm,Connecticut
http://www.privco.com/investors/venture-capital/bev-capital,United States,BEV Capital,Venture Capital,Connecticut
http://www.privco.com/investors/private-equity/black-diamond-capital-management,United States,Black Diamond Capital Management,Private Equity,Connecticut
http://www.privco.com/investors/private-equity/bluff-point-associates,United States,Bluff Point Associates,Private Equity,Connecticut
http://www.privco.com/investors/angel-individual/bob-allard,United States,Bob Allard,Angel / Individual,Connecticut
http://www.privco.com/investors/angel-individual/bob-dorf,United States,Bob Dorf,Angel / Individual,Connecticut
http://www.privco.com/investors/hedge-fund/bridgewater-associates-lp,United States,BridgeWater Associates LP,Hedge Fund,Connecticut
http://www.privco.com/investors/private-equity/broadhaven-capital-partners-llc,United States,"Broadhaven Capital Partners, LLC",Private Equity,Connecticut
http://www.privco.com/investors/private-equity/brookside-equity-partners-llc,United States,Brookside Equity Partners LLC,Private Equity,Connecticut
http://www.privco.com/investors/private-equity/brookside-group,United States,Brookside Group,Private Equity,Connecticut
http://www.privco.com/investors/private-equity/brookside-mezzanine-partners,United States,Brookside Mezzanine Partners,Private Equity,Connecticut
http://www.privco.com/investors/private-equity-venture-capital/avg-ventures-lp,United States,AVG Ventures LP,Private Equity & Venture Capital,Delaware
http://www.privco.com/investors/other-investment-firm/berkley-capital-investors-lp,United States,"Berkley Capital Investors, L.P.",Other Investment Firm,Delaware
http://www.privco.com/investors/venture-capital/blue-rock-capital-lp,United States,"Blue Rock Capital, L.P.",Venture Capital,Delaware
http://www.privco.com/investors/venture-capital/cb-healthcare-fund-ii-lp,United States,"CB Healthcare Fund II, L.P.",Venture Capital,Delaware
http://www.privco.com/investors/business-incubator-sbdc/city-of-wilmington-de-micro-enterprise-program,United States,City of Wilmington DE Micro Enterprise Program,Business Incubator / SBDC,Delaware
http://www.privco.com/investors/other-investment-firm/contra-costa-capital-llc,United States,"Contra Costa Capital, LLC",Other Investment Firm,Delaware
http://www.privco.com/investors/investment-management-firm/cpp-wi-holding-company,United States,CPP WI Holding Company,Investment Management Firm,Delaware
http://www.privco.com/investors/venture-capital/crown-venture-fund-llc,United States,"Crown Venture Fund, LLC.",Venture Capital,Delaware
http://www.privco.com/investors/business-incubator-sbdc/delaware-center-for-enterprise-development,United States,Delaware Center for Enterprise Development,Business Incubator / SBDC,Delaware
http://www.privco.com/investors/government/delaware-economic-development-office,United States,Delaware Economic Development Office,Government,Delaware
http://www.privco.com/investors/venture-capital/delaware-innovation-fund,United States,Delaware Innovation Fund,Venture Capital,Delaware
http://www.privco.com/investors/business-incubator-sbdc/delaware-sbdc-sussex-county,United States,Delaware SBDC - Sussex County,Business Incubator / SBDC,Delaware
http://www.privco.com/investors/business-incubator-sbdc/delaware-sbtdc,United States,Delaware SBTDC,Business Incubator / SBDC,Delaware
http://www.privco.com/investors/business-incubator-sbdc/delaware-state-university-sbdc,United States,Delaware State University SBDC,Business Incubator / SBDC,Delaware
http://www.privco.com/investors/business-incubator-sbdc/delaware-technology-park,United States,Delaware Technology Park,Business Incubator / SBDC,Delaware
http://www.privco.com/investors/venture-capital/dupont-ventures,United States,DuPont Ventures,Venture Capital,Delaware
http://www.privco.com/investors/venture-capital/fairbridge-venture-partners,United States,Fairbridge Venture Partners,Venture Capital,Delaware
http://www.privco.com/investors/private-equity-venture-capital/fortex-capital-inc,United States,"Fortex Capital, Inc.",Private Equity & Venture Capital,Delaware
http://www.privco.com/investors/angel-investor-group/fp-angels,United States,FP Angels,Angel Investor Group,Delaware
http://www.privco.com/investors/angel-investor-group/fsi-angel-network,United States,FSI Angel Network,Angel Investor Group,Delaware
http://www.privco.com/investors/venture-capital/hallett-capital,United States,Hallett Capital,Venture Capital,Delaware
http://www.privco.com/investors/venture-capital/inflection-point-ventures,United States,Inflection Point Ventures,Venture Capital,Delaware
http://www.privco.com/investors/small-business-investment-company-sbic/innovation-capital-advisors,United States,Innovation Capital Advisors,Small Business Investment Company (SBIC),Delaware
http://www.privco.com/investors/venture-capital/innovation-ventures,United States,Innovation Ventures,Venture Capital,Delaware
http://www.privco.com/investors/other-investment-firm/jssi-capital-enterprises-llc,United States,JSSI Capital Enterprises LLC,Other Investment Firm,Delaware
http://www.privco.com/investors/business-incubator-sbdc/1776_WashingtonDC_Incubator,United States,1776 DC Incubator,Business Incubator / SBDC,Washington D.C.
http://www.privco.com/investors/private-equity-venture-capital/accolade-partners,United States,Accolade Partners,Private Equity & Venture Capital,Washington D.C.
http://www.privco.com/investors/private-equity/acon-investments-llc,United States,"ACON Investments, LLC",Private Equity,Washington D.C.
http://www.privco.com/investors/venture-capital/acta-wireless-capital-llc,United States,"Acta Wireless Capital, LLC",Venture Capital,Washington D.C.
http://www.privco.com/investors/government/advanced-research-projects-agency-energy,United States,Advanced Research Projects Agency-Energy,Government,Washington D.C.
http://www.privco.com/investors/private-equity/albright-capital-management-llc,United States,Albright Capital Management LLC,Private Equity,Washington D.C.
http://www.privco.com/investors/private-equity/allied-capital-corporation,United States,Allied Capital Corporation,Private Equity,Washington D.C.
http://www.privco.com/investors/angel-investor-group/angel-investors-of-greater-washington,United States,Angel Investors of Greater Washington,Angel Investor Group,Washington D.C.
http://www.privco.com/investors/private-equity/avondale-ventures-llc,United States,"Avondale Ventures, LLC",Private Equity,Washington D.C.
http://www.privco.com/investors/venture-capital/banneker-ventures,United States,Banneker Ventures,Venture Capital,Washington D.C.
http://www.privco.com/investors/angel-individual/ben-bixby,United States,Ben Bixby,Angel / Individual,Washington D.C.
http://www.privco.com/investors/angel-investor-group/blue-heron-capital,United States,Blue Heron Capital,Angel Investor Group,Washington D.C.
http://www.privco.com/investors/private-equity/c-quest-capital-llc,United States,C-Quest Capital LLC,Private Equity,Washington D.C.
http://www.privco.com/investors/private-equity/capitol-partners-llc,United States,"Capitol Partners, LLC",Private Equity,Washington D.C.
http://www.privco.com/investors/private-equity/carlyle-group,United States,Carlyle Group,Private Equity,Washington D.C.
http://www.privco.com/investors/investment-management-firm/ccm-us-llc,United States,CCM US LLC,Investment Management Firm,Washington D.C.
http://www.privco.com/investors/angel-individual/clarence-wooten,United States,Clarence Wooten,Angel / Individual,Washington D.C.
http://www.privco.com/investors/private-equity/cleveland-avenue-investments-llc,United States,"Cleveland Avenue Investments, LLC",Private Equity,Washington D.C.
http://www.privco.com/investors/venture-capital/core-capital-partners-lp,United States,"Core Capital Partners, L.P.",Venture Capital,Washington D.C.
http://www.privco.com/investors/venture-capital/crystal-tech-fund,United States,Crystal Tech Fund,Venture Capital,Washington D.C.
http://www.privco.com/investors/private-equity/darby-overseas-investments-ltd,United States,"Darby Overseas Investments, Ltd.",Private Equity,Washington D.C.
http://www.privco.com/investors/angel-individual/david-beyer,United States,David Beyer,Angel / Individual,Washington D.C.
http://www.privco.com/investors/private-equity/dc-capital-partners-llc,United States,"DC Capital Partners, LLC",Private Equity,Washington D.C.
http://www.privco.com/investors/venture-capital/dc-community-ventures,United States,DC Community Ventures,Venture Capital,Washington D.C.
